accX,accY,accZ
-0.08679199,-1.613678,9.285294
0.023345947,-1.6280518,9.357117
0.042495728,-1.6328278,9.165588
-0.0005950928,-1.6088867,9.347549
0.028137207,-1.6328278,9.132065
0.023345947,-1.5705872,9.462463
-0.0053863525,-1.613678,9.5295105
0.042495728,-1.5657959,9.3954315
-0.010177612,-1.5753784,9.462463
0.004196167,-1.6184692,9.189529
0.018554688,-1.6184692,9.400223
0.004196167,-1.6711426,9.3714905
0.013763428,-1.5993195,9.352341
-0.038909912,-1.66156,9.505569
-0.06762695000000002,-1.5753784,9.2374115
-0.019744873,-1.5945282,9.381073
-0.08679199,-1.637619,9.290085
0.004196167,-1.6041107,9.309235
-0.038909912,-1.5897369,9.462463
-0.053268433,-1.498764,9.184738
-0.053268433,-1.5562134,9.448105000000002
-0.058059692,-1.5514374,9.208679
-0.08200073,-1.5322723,9.366699
-0.08200073,-1.5179138,9.376282
-0.10115051000000001,-1.5227051,9.21347
-0.11073303,-1.5083313,9.39064
-0.1490326,-1.5705872,9.189529
-0.14424133,-1.613678,9.342758
-0.15861511,-1.5993195,9.361908
-0.18734741,-1.5657959,9.261353
-0.19213867,-1.6328278,9.472046
-0.15861511,-1.6472015,9.175171
-0.20649719,-1.6184692,9.433731
-0.20170593,-1.6041107,9.194321
-0.1777649,-1.5945282,9.376282
-0.23522949,-1.637619,9.462463
-0.17297362999999996,-1.6807251,9.146439
-0.17297362999999996,-1.6663513,9.385849
-0.20649719,-1.7046661,9.141647
-0.21128845,-1.6663513,9.285294
-0.19213867,-1.6902924,9.256561
-0.20649719,-1.7142334,9.160797
-0.25437927,-1.6855011,9.314026
-0.18255615,-1.6519928,9.05545
-0.21128845,-1.66156,9.218262
-0.25917053,-1.6950836,9.352341
-0.19691467,-1.6280518,9.184738
-0.20649719,-1.6280518,9.39064
-0.22085571,-1.6663513,9.069824
-0.22085571,-1.6567688,9.333176000000002
-0.21128845,-1.6950836,9.2374115
-0.16340637,-1.6567688,9.337967
-0.20170593,-1.6184692,9.467255
-0.21128845,-1.6950836,9.199112
-0.18255615,-1.6280518,9.452896
-0.19213867,-1.6472015,9.275726
-0.18255615,-1.6519928,9.414581
-0.21128845,-1.6280518,9.491196
-0.15382385,-1.6184692,9.270935
-0.17297362999999996,-1.613678,9.467255
-0.14424133,-1.6519928,9.146439
-0.09635925,-1.5993195,9.462463
-0.12030029,-1.5993195,9.405014
-0.06762695000000002,-1.5993195,9.275726
-0.09158325,-1.5993195,9.505569
-0.11073303,-1.6711426,9.179947
-0.09158325,-1.6232605,9.438522
-0.11552429,-1.5610046,9.290085
-0.11552429,-1.5993195,9.299667
-0.12030029,-1.6232605,9.361908
-0.09635925,-1.5993195,9.132065
-0.06285095,-1.6280518,9.452896
-0.10115051000000001,-1.5849457,9.112915
-0.11073303,-1.5993195,9.352341
-0.053268433,-1.6184692,9.381073
-0.053268433,-1.5753784,9.2374115
-0.06285095,-1.6424103,9.40979
-0.09635925,-1.6328278,9.0985565
-0.10594177,-1.6232605,9.424164
-0.08200073,-1.6567688,9.23262
-0.06762695000000002,-1.637619,9.304459
-0.08200073,-1.637619,9.314026
-0.038909912,-1.5993195,9.117706
-0.12509155,-1.6759338,9.433731
-0.10115051000000001,-1.6280518,9.2374115
-0.043685913,-1.6184692,9.448105000000002
-0.10115051000000001,-1.5705872,9.318817
-0.07241820999999998,-1.5849457,9.266144
-0.07720947,-1.6328278,9.433731
-0.08200073,-1.5753784,9.141647
-0.12030029,-1.6041107,9.352341
