accX,accY,accZ
0.3190155,-1.3509216,9.66777
0.30943298,-1.2886658,9.600739
0.30943298,-1.2886658,9.691711
0.33337402,-1.2790985,9.5767975
0.28549194,-1.2407837,9.653412
0.29986572,-1.245575,9.653412
0.28549194,-1.1929016,9.701294
0.28549194,-1.2120514,9.691711
0.31422424,-1.2407837,9.710876
0.25198364,-1.2072754,9.68692
0.32859802,-1.1785431,9.639038
0.31422424,-1.1929016,9.696503
0.29986572,-1.1881104,9.730026
0.24719238,-1.159378,9.7348175
0.26634216,-1.1210785,9.696503
0.26634216,-1.1067047,9.66777
0.30943298,-1.1162872,9.749176
0.33816528,-1.1258698,9.710876
0.27592468,-1.135437,9.725235
0.3190155,-1.1689606,9.710876
0.36210632,-1.2120514,9.701294
0.32380676,-1.1929016,9.768326
0.31422424,-1.2264252000000002,9.68692
0.30464172,-1.2216339,9.696503
0.31422424,-1.2503662,9.653412
0.31422424,-1.2216339,9.720444
0.30464172,-1.2024841,9.662979000000002
0.27592468,-1.2838898,9.639038
0.20887756,-1.2551575,9.62468
0.24240112,-1.3269806,9.672562
0.28549194,-1.3030396,9.610306
0.25198364,-1.2647247,9.696503
0.24240112,-1.2790985,9.586365
0.26634216,-1.2838898,9.658203
0.26634216,-1.245575,9.629471
0.25675964,-1.2168427,9.595947
0.27113342,-1.2216339,9.706085
0.24240112,-1.2312164,9.720444
0.27592468,-1.2647247,9.715652
0.27592468,-1.2407837,9.768326
0.24719238,-1.2312164,9.753967
0.2615509,-1.2647247,9.682144
0.23760986,-1.2216339,9.677353
0.25198364,-1.245575,9.696503
0.24719238,-1.245575,9.658203
0.25198364,-1.2982483,9.62468
0.1993103,-1.293457,9.619888
0.24240112,-1.2312164,9.696503
0.22802734,-1.2168427,9.572006
0.22325134,-1.2407837,9.605530000000002
0.28549194,-1.2551575,9.5767975
0.27592468,-1.245575,9.586365
0.28549194,-1.2743073,9.643829
0.2902832,-1.2551575,9.629471
0.25675964,-1.2503662,9.586365
0.28549194,-1.2790985,9.615097
0.32380676,-1.2886658,9.629471
0.22802734,-1.245575,9.629471
0.29986572,-1.2407837,9.595947
0.2902832,-1.245575,9.619888
0.27592468,-1.2743073,9.629471
0.28549194,-1.2982483,9.595947
0.27113342,-1.2838898,9.538483
0.30464172,-1.2264252000000002,9.572006
0.33816528,-1.3078308,9.5767975
0.22802734,-1.2743073,9.548065
0.25675964,-1.2838898,9.562424
0.30464172,-1.3030396,9.548065
0.25675964,-1.245575,9.557648
0.28549194,-1.2982483,9.5767975
0.27113342,-1.245575,9.615097
0.25198364,-1.269516,9.643829
0.2902832,-1.293457,9.653412
0.24240112,-1.2886658,9.706085
0.27592468,-1.3030396,9.7827
