accX,accY,accZ
0.12748718,-3.0412292,9.299072
0.13227844,-3.08432,9.30864
0.14186096,-3.0747528,9.222458
0.15142822,-3.0555878,9.203293
0.16101074,-3.122635,9.246399
0.08439636,-3.08432,9.193726
0.2040863,-3.1178436,9.260757000000002
0.17059326,-3.1369934,9.236816
0.1993103,-3.0939026,9.222458
0.2615509,-3.1178436,9.088379
0.2615509,-3.0268555,9.222458
0.12271118,-3.108261,9.279907
0.22802734,-3.0795288,9.179352
0.21366882,-3.0986938,9.179352
0.22802734,-3.0699615,9.255966
0.21366882,-3.0891113,9.227234
0.18493652,-3.1178436,9.299072
0.15142822,-3.0795288,9.25119
0.18493652,-3.0699615,9.28949
0.1993103,-3.1178436,9.279907
0.18972778,-3.1034698,9.232025
0.22325134,-3.1322021,9.318222
0.14186096,-3.1657257,9.212875
0.1993103,-3.0891113,9.241608
0.17059326,-3.1513672,9.303848
0.18493652,-3.1561432,9.241608
0.18493652,-3.170517,9.313431
0.19451904,-3.2040253,9.27034
0.20887756,-3.146576,9.160202000000002
0.20887756,-3.1369934,9.275131
0.21366882,-3.1609344,9.28949
0.21846008,-3.1753082,9.241608
0.21846008,-3.2088165,9.246399
0.18972778,-3.2662811,9.241608
0.13227844,-3.2279816,9.227234
0.18014526,-3.2136078,9.265549
0.165802,-3.2519226,9.265549
0.1370697,-3.2471313,9.222458
0.17536926,-3.2088165,9.160202000000002
0.18972778,-3.2375488,9.25119
0.17536926,-3.2471313,9.2846985
0.14665222,-3.2950134,9.380463
0.12748718,-3.2758636,9.390045
0.16101074,-3.2327576,9.399628
0.14665222,-3.2614899,9.356522
0.07003784,-3.1800842,9.232025
0.12271118,-3.127411,9.236816
0.12271118,-3.1417847,9.222458
0.16101074,-3.1513672,9.203293
0.2040863,-3.1034698,9.083588
0.22802734,-3.0555878,9.097946
0.1993103,-3.1513672,9.1458435
0.27113342,-3.2040253,9.160202000000002
0.24240112,-3.170517,9.069229000000002
0.22325134,-3.170517,9.09317
0.18972778,-3.1800842,9.102737
0.20887756,-3.1561432,9.164993
0.15621948,-3.2040253,9.169785
0.16101074,-3.1848755,9.203293
0.12271118,-3.2040253,9.164993
0.12271118,-3.1753082,9.193726
0.09875488,-3.1800842,9.169785
0.050872803,-3.1657257,9.323013
0.12271118,-3.146576,9.294281
0.1370697,-3.2279816,9.232025
0.11312866,-3.2136078,9.236816
0.11791992,-3.1848755,9.279907
0.1370697,-3.1848755,9.236816
0.18014526,-3.2662811,9.217667
0.17536926,-3.2519226,9.27034
0.24719238,-3.24234,9.198517
0.28070068,-3.2566986,9.232025
0.23760986,-3.2758636,9.1458435
0.22325134,-3.304596,9.169785
0.19451904,-3.3141632,9.212875
0.1993103,-3.3237457,9.198517
0.1083374,-3.304596,9.179352
0.15142822,-3.333313,9.260757000000002
0.16101074,-3.328537,9.241608
0.1083374,-3.352478,9.198517
0.14665222,-3.2902222,9.241608
0.13227844,-3.328537,9.227234
0.15621948,-3.3476868,9.155411
0.12271118,-3.3859863,9.198517
0.165802,-3.352478,9.222458
0.1370697,-3.376419,9.11232
0.18493652,-3.3476868,9.203293
0.15142822,-3.309372,9.1506195
0.12748718,-3.3381042,9.136261
0.1370697,-3.352478,9.222458
0.14665222,-3.333313,9.169785
0.12271118,-3.3620453,9.241608
0.15142822,-3.3189545,9.222458
0.15621948,-3.3237457,9.236816
0.13227844,-3.352478,9.160202000000002
0.15142822,-3.2662811,9.1506195
0.165802,-3.352478,9.227234
0.17536926,-3.3428955,9.169785
0.15621948,-3.3381042,9.13147
0.18014526,-3.2806396,9.164993
0.15142822,-3.2614899,9.11232
0.12748718,-3.2662811,9.121902
0.1370697,-3.2806396,9.102737
0.15142822,-3.2950134,9.117111
0.18493652,-3.3141632,9.141052
0.15621948,-3.2758636,9.212875
0.18972778,-3.3668365,9.232025
0.09875488,-3.3476868,9.212875
0.14665222,-3.3381042,9.25119
0.09397888,-3.2950134,9.217667
0.17059326,-3.2710724,9.260757000000002
0.09875488,-3.3237457,9.241608
0.17536926,-3.285431,9.28949
0.14186096,-3.3141632,9.193726
0.2040863,-3.2806396,9.193726
0.18972778,-3.328537,9.188934
0.17059326,-3.3189545,9.155411
