accX,accY,accZ
-0.17297362999999996,-1.6998749,9.2374115
-0.17297362999999996,-1.6998749,9.2374115
-0.17297362999999996,-1.795639,9.294876
-0.20170593,-1.7429657,9.309235
-0.25437927,-1.7094421,9.304459
-0.11073303,-1.7286072,9.357117
-0.1490326,-1.7764893,9.357117
-0.15382385,-1.7525482,9.280502
-0.12509155,-1.7381744,9.280502
-0.12988281,-1.7764893,9.290085
-0.15382385,-1.7286072,9.323608
-0.16819763,-1.7142334,9.285294
-0.18734741,-1.7429657,9.290085
-0.18255615,-1.7333832,9.323608
-0.13467407,-1.7621155,9.309235
-0.20170593,-1.771698,9.337967
-0.18734741,-1.7525482,9.39064
-0.15861511,-1.7525482,9.294876
-0.18255615,-1.7094421,9.342758
-0.20170593,-1.7142334,9.337967
-0.18255615,-1.7669067,9.40979
-0.13467407,-1.7333832,9.357117
-0.1490326,-1.7621155,9.342758
-0.17297362999999996,-1.6807251,9.275726
-0.17297362999999996,-1.7573395,9.304459
-0.18255615,-1.7142334,9.361908
-0.18734741,-1.7238159,9.333176000000002
-0.18255615,-1.747757,9.376282
-0.16340637,-1.7190247,9.251785000000002
-0.19691467,-1.747757,9.342758
-0.1490326,-1.7669067,9.323608
-0.19213867,-1.7429657,9.309235
-0.21128845,-1.7429657,9.261353
-0.11073303,-1.7142334,9.290085
-0.12030029,-1.7190247,9.294876
-0.12509155,-1.8052216,9.323608
-0.11552429,-1.7286072,9.242203000000002
-0.18734741,-1.6855011,9.299667
-0.15382385,-1.7573395,9.3284
-0.15861511,-1.7286072,9.385849
-0.11552429,-1.7381744,9.337967
-0.14424133,-1.7860565,9.3714905
-0.15382385,-1.7381744,9.304459
-0.12030029,-1.7621155,9.333176000000002
-0.15382385,-1.7286072,9.23262
-0.1490326,-1.7573395,9.223053
-0.15861511,-1.7190247,9.208679
-0.13946533,-1.7238159,9.266144
-0.1777649,-1.7238159,9.270935
-0.12509155,-1.7525482,9.23262
-0.12988281,-1.7238159,9.318817
-0.20649719,-1.7333832,9.428955
-0.17297362999999996,-1.6759338,9.433731
-0.18734741,-1.747757,9.361908
-0.22085571,-1.7764893,9.491196
-0.23522949,-1.7621155,9.519928
-0.19691467,-1.8004303,9.400223
-0.20649719,-1.747757,9.256561
-0.19213867,-1.7860565,9.0746155
-0.16819763,-1.7381744,9.065033
-0.10594177,-1.7525482,9.223053
-0.1490326,-1.8052216,9.132065
-0.08679199,-1.7669067,9.208679
-0.053268433,-1.7381744,9.199112
-0.053268433,-1.7381744,9.361908
-0.15382385,-1.7429657,9.558243
-0.22085571,-1.7908478,9.352341
-0.26875305,-1.7812805,9.270935
-0.34536743,-1.7286072,9.175171
-0.34057617,-1.7429657,9.23262
-0.26875305,-1.7238159,9.275726
-0.21607971,-1.6902924,9.452896
-0.17297362999999996,-1.7525482,9.400223
-0.13467407,-1.6950836,9.438522
-0.014968872,-1.7621155,9.438522
-0.07720947,-1.771698,9.347549
-0.058059692,-1.7238159,9.299667
-0.08679199,-1.7142334,9.175171
-0.09635925,-1.7238159,9.175171
-0.11552429,-1.6328278,9.141647
-0.06285095,-1.6807251,9.246994
-0.09635925,-1.6902924,9.199112
-0.09635925,-1.7573395,9.246994
-0.12509155,-1.7381744,9.314026
-0.21607971,-1.747757,9.347549
-0.18734741,-1.7381744,9.266144
-0.18255615,-1.7525482,9.304459
-0.18255615,-1.7429657,9.290085
-0.24002075,-1.6855011,9.352341
-0.18734741,-1.7142334,9.318817
-0.23043823,-1.7142334,9.3284
-0.18734741,-1.7094421,9.352341
-0.23043823,-1.7190247,9.299667
-0.20649719,-1.6998749,9.309235
-0.16819763,-1.6998749,9.290085
-0.18734741,-1.7381744,9.3954315
-0.14424133,-1.6855011,9.285294
-0.21128845,-1.7286072,9.333176000000002
-0.13946533,-1.7333832,9.318817
-0.1490326,-1.7286072,9.352341
-0.13467407,-1.6567688,9.385849
-0.16340637,-1.7286072,9.3714905
-0.15861511,-1.771698,9.333176000000002
-0.18255615,-1.7381744,9.352341
-0.21128845,-1.747757,9.280502
-0.25437927,-1.771698,9.285294
-0.19213867,-1.8291626,9.261353
-0.17297362999999996,-1.7812805,9.285294
-0.1777649,-1.7621155,9.280502
-0.15382385,-1.795639,9.3284
-0.16819763,-1.8052216,9.280502
-0.18734741,-1.7812805,9.21347
-0.21607971,-1.7669067,9.275726
-0.1777649,-1.8004303,9.280502
-0.18734741,-1.771698,9.2374115
-0.13946533,-1.7621155,9.309235
-0.16340637,-1.7094421,9.223053
-0.19691467,-1.6567688,9.337967
-0.15382385,-1.6902924,9.299667
-0.22085571,-1.7381744,9.304459
-0.15382385,-1.7333832,9.385849
-0.11552429,-1.7669067,9.251785000000002
-0.13467407,-1.6855011,9.290085
-0.12988281,-1.7046661,9.323608
-0.18255615,-1.7094421,9.337967
-0.10594177,-1.7094421,9.290085
-0.12030029,-1.7142334,9.337967
-0.13467407,-1.66156,9.333176000000002
-0.12030029,-1.7381744,9.270935
-0.12509155,-1.7142334,9.256561
-0.13946533,-1.7094421,9.218262
-0.13467407,-1.6902924,9.3284
-0.12030029,-1.7286072,9.189529
-0.17297362999999996,-1.6711426,9.357117
-0.13946533,-1.7046661,9.40979
-0.22085571,-1.6855011,9.433731
-0.21128845,-1.7094421,9.39064
-0.20649719,-1.7094421,9.3284
-0.20649719,-1.7190247,9.280502
-0.13946533,-1.7286072,9.194321
-0.12988281,-1.7381744,9.146439
-0.12509155,-1.7238159,9.337967
-0.10594177,-1.7525482,9.481628
-0.11552429,-1.747757,9.385849
-0.08200073,-1.7621155,9.251785000000002
-0.08200073,-1.7573395,9.165588
-0.12030029,-1.771698,9.199112
-0.11073303,-1.7764893,9.2374115
-0.16340637,-1.771698,9.309235
-0.1490326,-1.7525482,9.299667
-0.1777649,-1.747757,9.275726
