accX,accY,accZ
-0.21128845,-1.6328278,9.342758
-0.19213867,-1.66156,9.318817
-0.16819763,-1.6328278,9.299667
-0.13946533,-1.6998749,9.304459
-0.14424133,-1.6950836,9.314026
-0.18255615,-1.6950836,9.309235
-0.12030029,-1.6902924,9.275726
-0.1777649,-1.7333832,9.261353
-0.17297362999999996,-1.7046661,9.275726
-0.13467407,-1.66156,9.290085
-0.14424133,-1.66156,9.357117
-0.12988281,-1.6567688,9.294876
-0.13946533,-1.6328278,9.299667
-0.14424133,-1.6519928,9.309235
-0.09158325,-1.66156,9.309235
-0.21128845,-1.6711426,9.352341
-0.17297362999999996,-1.6328278,9.342758
-0.1490326,-1.5753784,9.39064
-0.17297362999999996,-1.6184692,9.342758
-0.16819763,-1.5993195,9.361908
-0.09158325,-1.6088867,9.352341
-0.12030029,-1.6280518,9.347549
-0.12509155,-1.5562134,9.280502
-0.13946533,-1.6184692,9.400223
-0.11073303,-1.5993195,9.337967
-0.08200073,-1.5753784,9.199112
-0.09635925,-1.5753784,9.290085
-0.13946533,-1.6041107,9.223053
-0.12988281,-1.5705872,9.261353
-0.10115051000000001,-1.5801544,9.227844
-0.1490326,-1.5897369,9.270935
-0.12988281,-1.5705872,9.246994
-0.16340637,-1.5849457,9.376282
-0.15861511,-1.6759338,9.433731
-0.1490326,-1.66156,9.495987
-0.16340637,-1.6950836,9.3714905
-0.22564697,-1.66156,9.347549
-0.16340637,-1.6998749,9.337967
-0.12030029,-1.6567688,9.280502
-0.13946533,-1.6855011,9.136856
-0.09635925,-1.6519928,9.246994
-0.10115051000000001,-1.66156,9.352341
-0.1490326,-1.6663513,9.543869
-0.10115051000000001,-1.637619,9.3284
-0.10594177,-1.6328278,9.285294
-0.07241820999999998,-1.6424103,9.275726
-0.11552429,-1.637619,9.314026
-0.17297362999999996,-1.6232605,9.333176000000002
-0.10115051000000001,-1.6328278,9.256561
-0.19691467,-1.6328278,9.261353
-0.14424133,-1.6184692,9.299667
-0.17297362999999996,-1.637619,9.323608
-0.1777649,-1.5849457,9.2374115
-0.16340637,-1.6041107,9.266144
-0.20649719,-1.6424103,9.342758
-0.21128845,-1.6088867,9.400223
-0.22085571,-1.613678,9.266144
-0.16340637,-1.5849457,9.304459
-0.23522949,-1.5514374,9.323608
-0.16819763,-1.5610046,9.323608
-0.1777649,-1.5227051,9.256561
-0.16819763,-1.5514374,9.381073
-0.18255615,-1.5945282,9.333176000000002
-0.16340637,-1.5562134,9.381073
-0.16340637,-1.5849457,9.381073
-0.14424133,-1.613678,9.40979
-0.15382385,-1.6088867,9.381073
-0.11073303,-1.637619,9.337967
-0.1777649,-1.637619,9.347549
-0.13467407,-1.6041107,9.357117
-0.15861511,-1.6807251,9.361908
-0.15382385,-1.637619,9.337967
-0.12988281,-1.6519928,9.266144
-0.10115051000000001,-1.6663513,9.376282
-0.10115051000000001,-1.6807251,9.357117
-0.10115051000000001,-1.6759338,9.357117
-0.06285095,-1.66156,9.275726
-0.12988281,-1.6950836,9.23262
