accX,accY,accZ
1.3832397,-1.7573395,9.065033
1.392807,-1.7764893,9.136856
1.3736572,-1.7669067,9.17038
1.3832397,-1.8195801,9.069824
1.36409,-1.7525482,9.117706
1.4167633,-1.8004303,9.21347
1.3449249,-1.7860565,9.156006
1.3018341000000002,-1.8195801,9.151230000000002
1.3257751,-1.8626709,9.21347
1.3832397,-1.8052216,9.223053
1.3305664,-1.8387299,9.179947
1.3161926,-1.8578949,9.151230000000002
1.3401489,-1.8387299,9.194321
1.3305664,-1.8483124,9.175171
1.3257751,-1.8674622,9.275726
1.36409,-1.8291626,9.227844
1.3975983,-1.795639,9.23262
1.4023895,-1.8291626,9.223053
1.4311218,-1.8004303,9.208679
1.4550629,-1.8052216,9.223053
1.4359131,-1.8099976,9.309235
1.4502716,-1.8243713,9.323608
1.4598541,-1.8052216,9.261353
1.4071808,-1.8483124,9.156006
1.368866,-1.8531036,9.146439
1.3545074,-1.7908478,9.0793915
1.3449249,-1.8243713,9.112915
1.3161926,-1.8387299,9.165588
1.3161926,-1.8674622,9.05545
1.3353577,-1.8435211,9.17038
1.3209839,-1.8770447,9.160797
1.4359131,-1.8339539,9.132065
1.4023895,-1.8291626,9.151230000000002
1.4694214,-1.8052216,9.088974
1.4454803,-1.7812805,9.065033
1.4933777,-1.747757,9.026718
1.388031,-1.7094421,9.002777
1.4646454,-1.6711426,8.969269
1.4407043,-1.66156,9.069824
1.4023895,-1.6998749,9.136856
1.4407043,-1.5897369,9.165588
1.392807,-1.6424103,9.251785000000002
1.4023895,-1.6567688,9.2374115
1.388031,-1.6232605,9.318817
1.3832397,-1.6519928,9.318817
1.3353577,-1.7094421,9.357117
1.3449249,-1.7286072,9.352341
1.3545074,-1.6567688,9.352341
1.3975983,-1.771698,9.314026
1.368866,-1.7860565,9.347549
1.4263306,-1.8052216,9.318817
1.4215393,-1.7381744,9.246994
1.4311218,-1.7525482,9.165588
1.388031,-1.8531036,9.21347
1.4311218,-1.795639,9.165588
1.4215393,-1.8147888,9.132065
1.4167633,-1.795639,9.146439
1.4263306,-1.8195801,9.093765
1.411972,-1.8099976,9.108124
1.411972,-1.8770447,9.194321
1.4359131,-1.8195801,9.17038
1.368866,-1.8435211,9.189529
1.4311218,-1.8770447,9.17038
1.4167633,-1.8052216,9.132065
1.3975983,-1.905777,9.194321
1.4167633,-1.8243713,9.21347
1.4263306,-1.8387299,9.2374115
1.3784485,-1.7860565,9.194321
1.4311218,-1.8243713,9.136856
1.4071808,-1.8387299,9.127274
1.4311218,-1.8435211,9.112915
1.388031,-1.7860565,9.156006
1.4167633,-1.8195801,9.227844
1.4550629,-1.7286072,9.160797
1.4407043,-1.7621155,9.199112
1.4023895,-1.7908478,9.21347
1.3832397,-1.7142334,9.223053
1.3736572,-1.7573395,9.256561
1.368866,-1.7573395,9.146439
1.4167633,-1.7142334,9.199112
1.4215393,-1.7094421,9.165588
1.3975983,-1.7525482,9.227844
1.4646454,-1.7525482,9.246994
1.4598541,-1.7381744,9.208679
1.3975983,-1.7669067,9.184738
1.4550629,-1.747757,9.246994
1.4837952,-1.771698,9.227844
1.4311218,-1.795639,9.156006
1.4598541,-1.7238159,9.084183
1.4359131,-1.7429657,9.132065
1.411972,-1.8004303,9.199112
1.411972,-1.747757,9.251785000000002
1.4023895,-1.7573395,9.323608
1.4167633,-1.8004303,9.294876
1.388031,-1.8147888,9.261353
1.4359131,-1.8004303,9.179947
1.4215393,-1.8291626,9.160797
1.4694214,-1.7812805,9.208679
1.4598541,-1.795639,9.199112
1.4407043,-1.8339539,9.223053
1.4071808,-1.8578949,9.189529
1.4359131,-1.8099976,9.179947
1.4023895,-1.8243713,9.132065
1.4454803,-1.8147888,9.179947
1.4359131,-1.747757,9.0985565
1.4215393,-1.7812805,9.031509
1.4407043,-1.795639,9.108124
1.4311218,-1.8195801,9.136856
1.4167633,-1.7286072,9.165588
1.4359131,-1.8099976,9.146439
1.3545074,-1.8099976,9.199112
1.4071808,-1.795639,9.189529
1.3832397,-1.7525482,9.189529
1.4071808,-1.7812805,9.199112
1.388031,-1.8004303,9.199112
1.4454803,-1.8052216,9.189529
1.392807,-1.7429657,9.285294
1.4407043,-1.7573395,9.175171
1.4502716,-1.771698,9.256561
1.411972,-1.747757,9.280502
1.4359131,-1.7669067,9.261353
1.4646454,-1.7333832,9.21347
1.5077362,-1.7429657,9.165588
1.4263306,-1.747757,9.218262
1.4694214,-1.7669067,9.266144
1.4215393,-1.7429657,9.2374115
1.4359131,-1.7860565,9.23262
1.4598541,-1.8099976,9.242203000000002
1.4454803,-1.7764893,9.160797
1.4359131,-1.7860565,9.194321
1.3784485,-1.771698,9.112915
1.4407043,-1.7669067,9.127274
1.4694214,-1.8435211,9.0985565
1.4454803,-1.8099976,9.189529
1.5125275,-1.8195801,9.156006
1.4790039,-1.7812805,9.117706
1.4215393,-1.795639,9.218262
1.4646454,-1.8099976,9.136856
1.411972,-1.7860565,9.156006
1.4311218,-1.8435211,9.179947
1.4023895,-1.8339539,9.151230000000002
1.4215393,-1.795639,9.088974
1.4167633,-1.8147888,9.146439
1.411972,-1.8099976,9.117706
1.4454803,-1.8291626,9.189529
1.4311218,-1.795639,9.227844
1.4646454,-1.7812805,9.246994
1.4407043,-1.7573395,9.199112
1.3975983,-1.7190247,9.179947
1.4215393,-1.7812805,9.203888
1.4263306,-1.7669067,9.184738
1.4311218,-1.7621155,9.127274
1.4263306,-1.7525482,9.199112
1.411972,-1.747757,9.151230000000002
1.4311218,-1.8004303,9.156006
1.388031,-1.7908478,9.160797
1.4023895,-1.8004303,9.218262
1.4790039,-1.771698,9.203888
1.4694214,-1.7812805,9.160797
1.4167633,-1.7812805,9.136856
1.4790039,-1.8052216,9.146439
1.4359131,-1.7764893,9.218262
1.4502716,-1.795639,9.246994
1.4263306,-1.7860565,9.165588
1.4502716,-1.7812805,9.146439
1.4837952,-1.7860565,9.136856
1.4215393,-1.7429657,9.203888
1.4694214,-1.8052216,9.112915
1.4502716,-1.7860565,9.194321
1.4694214,-1.8099976,9.151230000000002
1.4694214,-1.8243713,9.151230000000002
1.4311218,-1.795639,9.23262
1.4646454,-1.8195801,9.165588
1.4550629,-1.7860565,9.151230000000002
1.4502716,-1.795639,9.184738
1.4023895,-1.7621155,9.194321
1.4646454,-1.7908478,9.251785000000002
1.4694214,-1.795639,9.141647
1.4407043,-1.795639,9.17038
1.4454803,-1.7286072,9.199112
1.4454803,-1.7860565,9.21347
1.4598541,-1.7142334,9.146439
1.4407043,-1.7525482,9.246994
1.4407043,-1.7764893,9.208679
1.4598541,-1.771698,9.127274
1.4694214,-1.7525482,9.270935
1.4550629,-1.7286072,9.199112
1.4311218,-1.7429657,9.175171
1.4742126,-1.795639,9.189529
1.4694214,-1.8291626,9.165588
1.4407043,-1.8004303,9.227844
1.4023895,-1.8004303,9.132065
1.4359131,-1.7908478,9.199112
1.4790039,-1.7669067,9.21347
1.4407043,-1.771698,9.17038
1.4359131,-1.8004303,9.17038
1.4550629,-1.7812805,9.160797
1.4550629,-1.771698,9.146439
1.4742126,-1.7669067,9.156006
1.4359131,-1.7764893,9.21347
1.4550629,-1.8195801,9.184738
1.4359131,-1.8052216,9.17038
1.4263306,-1.8004303,9.112915
1.4407043,-1.795639,9.156006
1.4407043,-1.8147888,9.227844
1.4167633,-1.771698,9.23262
1.4502716,-1.8099976,9.227844
1.4407043,-1.8195801,9.275726
1.4550629,-1.8291626,9.223053
1.4837952,-1.8147888,9.17038
1.4502716,-1.7908478,9.146439
1.4646454,-1.7669067,9.17038
1.4598541,-1.8004303,9.05545
1.4502716,-1.7333832,9.093765
1.4454803,-1.7573395,9.093765
1.4694214,-1.7573395,9.184738
1.4502716,-1.7094421,9.160797
1.4502716,-1.747757,9.127274
1.4646454,-1.7238159,9.141647
1.4263306,-1.8243713,9.156006
1.4167633,-1.7860565,9.2374115
1.4646454,-1.8531036,9.223053
1.4885864,-1.7860565,9.218262
1.4837952,-1.8004303,9.194321
1.4454803,-1.7764893,9.175171
1.4790039,-1.771698,9.108124
1.3975983,-1.771698,9.199112
1.4311218,-1.7573395,9.218262
1.4167633,-1.771698,9.309235
1.4167633,-1.7621155,9.189529
1.4502716,-1.7621155,9.246994
1.5077362,-1.6998749,9.242203000000002
1.5173187,-1.7525482,9.280502
1.5604095,-1.7333832,9.246994
1.526886,-1.7621155,9.333176000000002
1.4742126,-1.8147888,9.2374115
1.4502716,-1.771698,9.122498
1.4454803,-1.8195801,9.01236
1.3975983,-1.7525482,9.093765
1.3305664,-1.8147888,9.0793915
1.36409,-1.8243713,9.108124
1.3353577,-1.8483124,9.227844
1.3736572,-1.8339539,9.175171
1.3784485,-1.8195801,9.304459
1.4502716,-1.8578949,9.136856
1.5077362,-1.8483124,9.136856
1.526886,-1.8531036,9.208679
1.5125275,-1.8531036,9.041092
1.5652008,-1.8626709,9.01236
1.5891418,-1.8052216,9.045883
1.5747681,-1.7764893,9.017151
1.526886,-1.7812805,9.127274
1.5652008,-1.6950836,9.084183
1.4885864,-1.7429657,9.117706
1.4837952,-1.7142334,9.223053
1.5077362,-1.7046661,9.280502
1.4646454,-1.6902924,9.299667
1.4215393,-1.6472015,9.285294
1.392807,-1.6998749,9.280502
1.3545074,-1.6232605,9.251785000000002
1.4598541,-1.66156,9.270935
1.3832397,-1.6902924,9.280502
1.3784485,-1.7094421,9.256561
1.3975983,-1.7333832,9.223053
1.4694214,-1.6950836,9.242203000000002
1.4646454,-1.7333832,9.21347
1.4981537,-1.7142334,9.194321
1.4694214,-1.6998749,9.141647
1.4263306,-1.6711426,9.093765
1.4215393,-1.7286072,9.184738
1.4598541,-1.7381744,9.151230000000002
1.4837952,-1.7860565,9.23262
1.4550629,-1.7860565,9.127274
1.4167633,-1.8052216,9.165588
1.4311218,-1.8004303,9.160797
1.4071808,-1.8291626,9.184738
1.392807,-1.8004303,9.184738
1.4694214,-1.8243713,9.122498
1.4263306,-1.8483124,9.165588
1.4646454,-1.8435211,9.175171
1.4263306,-1.8387299,9.208679
1.4359131,-1.8818359,9.136856
1.4981537,-1.8099976,9.184738
1.4359131,-1.8531036,9.165588
1.4837952,-1.8099976,9.122498
1.4550629,-1.8099976,9.199112
1.4742126,-1.8578949,9.151230000000002
1.4646454,-1.7908478,9.179947
1.4550629,-1.7525482,9.141647
1.4263306,-1.7381744,9.179947
1.4550629,-1.747757,9.136856
1.4502716,-1.7764893,9.218262
1.4263306,-1.7381744,9.17038
1.4646454,-1.6998749,9.203888
1.4694214,-1.6902924,9.194321
1.4407043,-1.7238159,9.189529
1.4694214,-1.7238159,9.227844
1.4311218,-1.7286072,9.261353
1.4790039,-1.7190247,9.256561
1.4407043,-1.7381744,9.156006
1.4981537,-1.7190247,9.165588
1.4646454,-1.7286072,9.002777
1.4742126,-1.6950836,9.088974
1.4694214,-1.7238159,9.146439
1.4742126,-1.6950836,9.290085
1.502945,-1.771698,9.342758
1.4646454,-1.6807251,9.352341
1.4837952,-1.747757,9.314026
1.4742126,-1.7669067,9.314026
1.4885864,-1.747757,9.23262
1.4885864,-1.7142334,9.261353
1.5173187,-1.8099976,9.21347
1.4790039,-1.795639,9.156006
1.4502716,-1.7525482,9.112915
1.4837952,-1.8004303,9.112915
1.4407043,-1.8004303,9.184738
1.4742126,-1.795639,9.122498
1.5077362,-1.8004303,9.175171
1.4407043,-1.8004303,9.141647
1.4933777,-1.7669067,9.060242
1.4885864,-1.7621155,9.246994
1.4407043,-1.7812805,9.151230000000002
1.4454803,-1.7764893,9.21347
1.4215393,-1.771698,9.184738
1.4359131,-1.7908478,9.184738
1.411972,-1.7908478,9.156006
1.4311218,-1.8004303,9.108124
1.4454803,-1.771698,9.146439
1.4550629,-1.7908478,9.184738
1.4598541,-1.8004303,9.23262
1.4646454,-1.7573395,9.218262
1.4646454,-1.7621155,9.242203000000002
1.4407043,-1.7429657,9.23262
1.4502716,-1.795639,9.227844
1.4885864,-1.7333832,9.266144
1.4646454,-1.7621155,9.246994
1.4981537,-1.7190247,9.23262
1.4646454,-1.7669067,9.17038
1.4981537,-1.7525482,9.175171
1.4933777,-1.7621155,9.203888
1.4837952,-1.7860565,9.223053
1.4167633,-1.7764893,9.175171
1.4215393,-1.7764893,9.141647
1.4407043,-1.7812805,9.179947
1.4454803,-1.8052216,9.141647
1.4550629,-1.7764893,9.165588
1.4646454,-1.747757,9.165588
1.4311218,-1.8052216,9.23262
1.502945,-1.8099976,9.122498
1.4694214,-1.7812805,9.218262
1.4790039,-1.8147888,9.127274
1.4646454,-1.8052216,9.146439
1.4742126,-1.7812805,9.165588
1.4694214,-1.7908478,9.045883
1.4885864,-1.7764893,9.151230000000002
1.4359131,-1.747757,9.117706
1.4694214,-1.7621155,9.199112
1.4598541,-1.795639,9.141647
1.411972,-1.8052216,9.160797
1.4311218,-1.771698,9.184738
1.4359131,-1.7573395,9.146439
1.4550629,-1.7621155,9.160797
1.4359131,-1.7669067,9.218262
1.4263306,-1.7908478,9.165588
1.4933777,-1.7573395,9.189529
1.4742126,-1.8291626,9.208679
1.4407043,-1.8052216,9.175171
1.4646454,-1.7573395,9.179947
1.4215393,-1.771698,9.132065
1.411972,-1.7812805,9.184738
1.4646454,-1.7764893,9.21347
1.4837952,-1.7429657,9.189529
1.4407043,-1.7525482,9.227844
1.502945,-1.7860565,9.136856
1.4263306,-1.7333832,9.146439
1.4694214,-1.7669067,9.189529
1.4311218,-1.7333832,9.184738
1.4167633,-1.795639,9.17038
1.4742126,-1.8004303,9.151230000000002
1.4742126,-1.8052216,9.141647
1.4502716,-1.7764893,9.223053
1.4598541,-1.8195801,9.256561
1.4646454,-1.7621155,9.179947
1.4167633,-1.7860565,9.160797
1.4598541,-1.7669067,9.23262
1.5077362,-1.747757,9.223053
1.4742126,-1.8052216,9.218262
1.4933777,-1.747757,9.112915
1.4837952,-1.7669067,9.21347
1.4981537,-1.7621155,9.156006
1.4694214,-1.7621155,9.23262
1.4885864,-1.7812805,9.127274
1.4311218,-1.7621155,9.218262
1.4646454,-1.8099976,9.194321
1.4598541,-1.7573395,9.203888
1.4646454,-1.7381744,9.146439
1.4933777,-1.7908478,9.175171
1.4790039,-1.7621155,9.160797
1.4598541,-1.7908478,9.165588
1.4550629,-1.7669067,9.127274
1.4359131,-1.795639,9.227844
1.4646454,-1.7908478,9.21347
1.4454803,-1.7669067,9.146439
1.4790039,-1.7669067,9.199112
1.4742126,-1.7812805,9.175171
1.4550629,-1.7573395,9.17038
1.4215393,-1.7812805,9.122498
1.4311218,-1.7429657,9.179947
1.4407043,-1.7621155,9.160797
1.4502716,-1.7621155,9.17038
1.411972,-1.7764893,9.189529
1.4742126,-1.7381744,9.160797
1.4598541,-1.7812805,9.246994
1.4933777,-1.8052216,9.246994
1.4550629,-1.7812805,9.141647
1.4502716,-1.7573395,9.189529
1.4981537,-1.795639,9.218262
1.4167633,-1.771698,9.242203000000002
1.411972,-1.7908478,9.23262
1.4646454,-1.8052216,9.189529
1.4646454,-1.7429657,9.23262
1.4550629,-1.771698,9.151230000000002
1.4215393,-1.7621155,9.261353
1.4407043,-1.7621155,9.242203000000002
1.5125275,-1.7573395,9.179947
1.4646454,-1.8243713,9.1033325
1.4790039,-1.8004303,9.136856
1.4837952,-1.7621155,9.1033325
1.4454803,-1.7764893,9.132065
1.4454803,-1.8004303,9.108124
1.4502716,-1.7621155,9.160797
1.4263306,-1.7764893,9.242203000000002
1.411972,-1.8147888,9.156006
1.4694214,-1.7669067,9.175171
1.4598541,-1.7333832,9.175171
1.4646454,-1.7573395,9.093765
1.4790039,-1.747757,9.141647
1.4550629,-1.7525482,9.050659
1.4742126,-1.7573395,9.0746155
1.392807,-1.7238159,9.189529
1.4502716,-1.7190247,9.165588
1.4550629,-1.7908478,9.132065
1.4215393,-1.7764893,9.151230000000002
