accX,accY,accZ
1.4071808,-1.8483124,9.0985565
1.3975983,-1.8291626,9.0746155
1.4023895,-1.795639,9.084183
1.3975983,-1.7429657,9.146439
1.3497162,-1.7812805,9.108124
1.4215393,-1.771698,9.189529
1.3401489,-1.795639,9.189529
1.3449249,-1.7908478,9.136856
1.3592987,-1.7669067,9.189529
1.388031,-1.7908478,9.2374115
1.3975983,-1.7812805,9.299667
1.388031,-1.7908478,9.280502
1.4167633,-1.7764893,9.23262
1.4215393,-1.771698,9.246994
1.392807,-1.8147888,9.242203000000002
1.4167633,-1.795639,9.194321
1.3784485,-1.8435211,9.2374115
1.4071808,-1.7908478,9.275726
1.4263306,-1.8435211,9.223053
1.3784485,-1.8243713,9.23262
1.392807,-1.7860565,9.2374115
1.36409,-1.795639,9.256561
1.392807,-1.8052216,9.2374115
1.4167633,-1.7908478,9.184738
1.368866,-1.8866119,9.184738
1.368866,-1.8387299,9.108124
1.411972,-1.8531036,9.156006
1.3975983,-1.8052216,9.203888
1.3209839,-1.8387299,9.151230000000002
1.3592987,-1.8052216,9.189529
1.4023895,-1.8099976,9.160797
1.4071808,-1.8818359,9.117706
1.388031,-1.8435211,9.165588
1.3784485,-1.8722534,9.112915
1.3832397,-1.8387299,9.117706
1.3784485,-1.8435211,9.127274
1.3832397,-1.8339539,9.179947
1.368866,-1.8291626,9.184738
1.4023895,-1.8483124,9.227844
1.3784485,-1.8243713,9.160797
1.4263306,-1.7908478,9.2374115
1.4502716,-1.8291626,9.218262
1.4167633,-1.771698,9.127274
1.388031,-1.8052216,9.246994
1.392807,-1.7812805,9.242203000000002
1.3736572,-1.747757,9.218262
1.3832397,-1.8147888,9.141647
1.4023895,-1.771698,9.160797
1.3497162,-1.7860565,9.21347
1.368866,-1.795639,9.117706
1.4407043,-1.7669067,9.146439
1.3401489,-1.7764893,9.165588
1.3209839,-1.8147888,9.05545
1.36409,-1.8531036,9.0746155
1.368866,-1.8531036,9.194321
1.3545074,-1.8052216,9.223053
1.3736572,-1.8004303,9.2374115
1.3592987,-1.8291626,9.251785000000002
1.3592987,-1.8483124,9.275726
1.411972,-1.8243713,9.323608
1.3592987,-1.8004303,9.199112
1.411972,-1.795639,9.156006
1.4071808,-1.8052216,9.17038
1.3832397,-1.8195801,9.141647
1.4071808,-1.8147888,9.050659
1.4215393,-1.7812805,9.17038
1.3497162,-1.8195801,9.088974
1.4167633,-1.795639,9.0985565
1.3832397,-1.8099976,9.132065
1.392807,-1.7812805,9.256561
1.3497162,-1.8291626,9.23262
1.4311218,-1.8147888,9.146439
1.3975983,-1.8195801,9.242203000000002
1.388031,-1.8339539,9.175171
1.411972,-1.8243713,9.141647
1.3497162,-1.8052216,9.184738
1.368866,-1.8291626,9.208679
1.36409,-1.8004303,9.218262
1.3449249,-1.7908478,9.266144
1.3449249,-1.8052216,9.294876
1.3545074,-1.795639,9.189529
1.36409,-1.7860565,9.218262
1.4023895,-1.7908478,9.189529
1.4071808,-1.8387299,9.160797
1.3736572,-1.7812805,9.093765
1.3592987,-1.7525482,9.160797
1.392807,-1.7812805,9.156006
1.3592987,-1.7860565,9.156006
1.368866,-1.8195801,9.112915
1.3401489,-1.8004303,9.088974
1.3161926,-1.8195801,9.141647
1.2970428,-1.8387299,9.069824
1.3114166,-1.8770447,9.117706
1.2970428,-1.8578949,9.160797
1.3161926,-1.9345093,9.146439
1.3066254,-1.9153442,9.146439
1.2874756,-1.9153442,9.108124
1.3497162,-1.9009857,9.194321
1.3257751,-1.8961945,9.1033325
1.4167633,-1.8914032,9.041092
1.4023895,-1.7860565,9.093765
1.4311218,-1.8052216,9.060242
1.4167633,-1.7812805,9.0985565
1.4311218,-1.7908478,9.108124
1.4646454,-1.7286072,9.060242
1.4407043,-1.7142334,9.132065
1.411972,-1.7429657,9.136856
1.3401489,-1.6902924,9.184738
1.36409,-1.6184692,9.175171
1.3497162,-1.6807251,9.242203000000002
1.3018341000000002,-1.7094421,9.251785000000002
1.2778931,-1.7094421,9.352341
1.2204285,-1.7046661,9.304459
1.3161926,-1.6998749,9.3714905
1.3114166,-1.771698,9.333176000000002
1.3449249,-1.747757,9.285294
1.3545074,-1.7046661,9.275726
1.3401489,-1.7621155,9.405014
1.3161926,-1.7621155,9.189529
1.4023895,-1.7764893,9.285294
1.3736572,-1.7525482,9.208679
1.36409,-1.8339539,9.17038
1.368866,-1.8387299,9.251785000000002
1.392807,-1.8770447,9.21347
1.388031,-1.8722534,9.179947
1.3832397,-1.8578949,9.199112
1.3305664,-1.8435211,9.146439
1.3114166,-1.8578949,9.203888
1.3545074,-1.8961945,9.175171
1.3784485,-1.9105682,9.280502
1.3066254,-1.8435211,9.17038
1.3305664,-1.8626709,9.160797
1.4215393,-1.8626709,9.199112
1.368866,-1.9009857,9.127274
1.3736572,-1.8339539,9.136856
1.3784485,-1.795639,9.184738
1.3257751,-1.8195801,9.17038
1.3736572,-1.795639,9.23262
1.3736572,-1.8387299,9.122498
1.392807,-1.771698,9.17038
1.36409,-1.7525482,9.1033325
1.3449249,-1.7669067,9.227844
1.3736572,-1.7142334,9.146439
1.411972,-1.7573395,9.156006
1.3736572,-1.7908478,9.175171
1.3257751,-1.7238159,9.189529
1.3592987,-1.7525482,9.199112
1.368866,-1.7573395,9.208679
1.3736572,-1.7381744,9.165588
1.368866,-1.7525482,9.093765
1.3832397,-1.7190247,9.050659
1.3545074,-1.7381744,9.151230000000002
1.3401489,-1.7333832,9.160797
1.3449249,-1.7333832,9.251785000000002
1.3545074,-1.7525482,9.323608
1.4215393,-1.7525482,9.333176000000002
1.3305664,-1.7812805,9.2374115
1.392807,-1.8147888,9.261353
1.411972,-1.7764893,9.256561
1.388031,-1.8052216,9.1033325
1.3975983,-1.8578949,9.203888
1.36409,-1.8722534,9.160797
1.3736572,-1.8435211,9.160797
1.3545074,-1.8674622,9.175171
1.3545074,-1.8339539,9.17038
1.3497162,-1.8387299,9.141647
1.3401489,-1.8674622,9.060242
1.3066254,-1.8291626,9.136856
1.368866,-1.8578949,9.112915
1.3592987,-1.8099976,9.156006
1.3975983,-1.7812805,9.17038
1.3449249,-1.8531036,9.218262
1.3161926,-1.8099976,9.175171
1.3066254,-1.8004303,9.17038
1.3592987,-1.8243713,9.21347
1.3305664,-1.7669067,9.199112
1.3209839,-1.7381744,9.227844
1.3497162,-1.7286072,9.17038
1.3066254,-1.7764893,9.203888
1.36409,-1.7429657,9.270935
1.3592987,-1.7525482,9.203888
1.3497162,-1.771698,9.21347
1.3592987,-1.7286072,9.246994
1.3592987,-1.7046661,9.290085
1.388031,-1.7238159,9.242203000000002
1.36409,-1.7333832,9.242203000000002
1.368866,-1.7333832,9.299667
1.3592987,-1.7573395,9.194321
1.368866,-1.7525482,9.23262
1.4023895,-1.8004303,9.189529
1.36409,-1.7429657,9.208679
1.3736572,-1.8195801,9.194321
1.3736572,-1.8004303,9.136856
1.3449249,-1.8243713,9.160797
1.3592987,-1.8291626,9.0793915
1.3545074,-1.7669067,9.179947
1.4023895,-1.8195801,9.0793915
1.36409,-1.8435211,9.093765
1.3736572,-1.8147888,9.151230000000002
1.3592987,-1.8052216,9.165588
1.3736572,-1.8291626,9.179947
1.411972,-1.8052216,9.117706
1.388031,-1.8483124,9.0793915
1.3497162,-1.7621155,9.179947
1.36409,-1.8195801,9.208679
1.388031,-1.8531036,9.23262
1.3975983,-1.8147888,9.146439
1.3545074,-1.8004303,9.117706
1.368866,-1.7286072,9.160797
1.3736572,-1.7764893,9.165588
1.411972,-1.7860565,9.199112
1.3497162,-1.8052216,9.127274
1.3066254,-1.8052216,9.194321
1.3209839,-1.7812805,9.208679
1.36409,-1.7860565,9.242203000000002
1.3161926,-1.7860565,9.203888
1.3592987,-1.747757,9.2374115
1.3449249,-1.795639,9.203888
1.3592987,-1.771698,9.179947
1.3209839,-1.771698,9.251785000000002
1.3305664,-1.7573395,9.179947
1.3018341000000002,-1.7860565,9.251785000000002
1.3353577,-1.7669067,9.218262
1.3497162,-1.8004303,9.218262
1.4023895,-1.8291626,9.194321
1.3114166,-1.8052216,9.21347
1.3449249,-1.8195801,9.23262
1.3736572,-1.7908478,9.189529
1.3545074,-1.8243713,9.208679
1.4023895,-1.8004303,9.160797
1.3736572,-1.7860565,9.189529
1.3736572,-1.8483124,9.136856
1.3975983,-1.8052216,9.156006
1.3449249,-1.8099976,9.218262
1.3784485,-1.8339539,9.23262
1.36409,-1.8099976,9.194321
1.3497162,-1.8147888,9.2374115
1.3592987,-1.8099976,9.223053
1.36409,-1.7621155,9.223053
1.4023895,-1.7812805,9.242203000000002
1.411972,-1.7573395,9.179947
1.4502716,-1.7573395,9.0985565
1.411972,-1.8052216,9.088974
1.4071808,-1.7908478,9.045883
1.3736572,-1.7094421,9.112915
1.392807,-1.7286072,9.088974
1.36409,-1.7764893,9.17038
1.3401489,-1.795639,9.141647
1.3592987,-1.7860565,9.194321
1.4023895,-1.795639,9.151230000000002
1.3353577,-1.8243713,9.218262
1.3161926,-1.7908478,9.189529
1.3545074,-1.8339539,9.218262
1.368866,-1.8099976,9.203888
1.3353577,-1.8195801,9.175171
1.3449249,-1.8243713,9.160797
1.3161926,-1.8052216,9.23262
1.3066254,-1.7621155,9.223053
1.3449249,-1.7669067,9.256561
1.3545074,-1.8004303,9.242203000000002
1.3592987,-1.8195801,9.199112
1.3832397,-1.8052216,9.203888
1.3975983,-1.8052216,9.141647
1.3497162,-1.7860565,9.203888
1.4023895,-1.8435211,9.141647
1.3784485,-1.7812805,9.136856
1.392807,-1.8195801,9.136856
1.3305664,-1.8052216,9.045883
1.3832397,-1.7525482,9.084183
1.2922516,-1.8147888,9.0793915
1.3257751,-1.9009857,9.084183
1.3018341000000002,-1.8818359,9.160797
1.2635345,-1.8961945,9.088974
1.253952,-1.9249268,9.203888
1.253952,-1.9105682,9.218262
1.3305664,-1.9392853,9.17038
1.3018341000000002,-1.8674622,9.242203000000002
1.3497162,-1.9105682,9.069824
1.3592987,-1.8770447,9.127274
1.3975983,-1.8099976,9.127274
1.4454803,-1.8052216,9.17038
1.502945,-1.8195801,9.160797
1.5220947,-1.8052216,9.208679
1.502945,-1.7860565,9.093765
1.4981537,-1.7573395,9.127274
1.4311218,-1.7142334,9.2374115
1.4359131,-1.6998749,9.280502
1.3784485,-1.6855011,9.290085
1.3545074,-1.6902924,9.280502
1.3545074,-1.6711426,9.337967
1.3305664,-1.6424103,9.361908
1.2922516,-1.6998749,9.333176000000002
1.3018341000000002,-1.6855011,9.290085
1.3257751,-1.6855011,9.256561
1.3161926,-1.6998749,9.294876
1.3114166,-1.7094421,9.2374115
1.3114166,-1.7381744,9.242203000000002
1.3305664,-1.7094421,9.208679
1.3975983,-1.7621155,9.223053
1.4167633,-1.7669067,9.165588
1.4359131,-1.7094421,9.160797
1.4454803,-1.8099976,9.199112
1.4502716,-1.8147888,9.136856
1.3975983,-1.8147888,9.088974
1.368866,-1.8147888,9.088974
1.4023895,-1.8626709,9.141647
1.36409,-1.9105682,9.151230000000002
1.3736572,-1.8674622,9.151230000000002
1.3736572,-1.9153442,9.2374115
1.3832397,-1.905777,9.156006
1.3832397,-1.9009857,9.246994
1.3784485,-1.905777,9.21347
1.3592987,-1.8722534,9.175171
1.368866,-1.8578949,9.208679
1.3545074,-1.8531036,9.218262
1.3784485,-1.8578949,9.156006
1.3545074,-1.8722534,9.165588
1.3545074,-1.8483124,9.156006
1.3975983,-1.905777,9.165588
1.3209839,-1.7764893,9.132065
1.3497162,-1.8099976,9.203888
1.388031,-1.7908478,9.165588
1.3401489,-1.771698,9.208679
1.388031,-1.7238159,9.189529
1.3545074,-1.7764893,9.136856
1.3784485,-1.7333832,9.194321
1.388031,-1.7046661,9.160797
1.3209839,-1.7429657,9.189529
1.36409,-1.7429657,9.127274
1.3592987,-1.7429657,9.060242
1.411972,-1.7908478,9.031509
1.411972,-1.7333832,9.141647
1.3592987,-1.7333832,9.227844
1.3209839,-1.7046661,9.323608
1.3832397,-1.7046661,9.285294
1.392807,-1.8052216,9.314026
1.3545074,-1.771698,9.318817
1.4023895,-1.7573395,9.280502
1.3832397,-1.8004303,9.184738
1.4454803,-1.8291626,9.160797
1.3736572,-1.8052216,9.156006
1.3832397,-1.8099976,9.136856
1.3736572,-1.8339539,9.112915
1.3545074,-1.8578949,9.084183
1.3592987,-1.8626709,9.0985565
1.4071808,-1.771698,9.031509
1.4071808,-1.8578949,9.165588
1.3449249,-1.7860565,9.160797
1.4071808,-1.795639,9.227844
1.3784485,-1.7860565,9.112915
1.3449249,-1.7812805,9.175171
1.4071808,-1.771698,9.21347
1.3784485,-1.8099976,9.127274
1.4023895,-1.7764893,9.146439
1.392807,-1.7860565,9.184738
1.3832397,-1.7621155,9.175171
1.388031,-1.8052216,9.165588
1.3545074,-1.7908478,9.256561
1.3449249,-1.7429657,9.160797
1.3832397,-1.747757,9.203888
1.392807,-1.795639,9.299667
1.3736572,-1.8052216,9.184738
1.4071808,-1.8147888,9.165588
1.368866,-1.8099976,9.175171
1.3592987,-1.747757,9.179947
1.3832397,-1.7573395,9.23262
1.3975983,-1.8052216,9.165588
1.411972,-1.8243713,9.17038
1.3736572,-1.7764893,9.146439
1.4023895,-1.7286072,9.141647
1.3736572,-1.7908478,9.141647
1.3545074,-1.8147888,9.189529
1.388031,-1.7860565,9.141647
1.3784485,-1.7908478,9.223053
1.3784485,-1.8195801,9.208679
1.3832397,-1.8722534,9.117706
1.411972,-1.8291626,9.156006
1.3592987,-1.8004303,9.194321
1.4071808,-1.8387299,9.218262
1.392807,-1.8099976,9.151230000000002
1.3449249,-1.8483124,9.23262
1.368866,-1.8147888,9.208679
1.36409,-1.8195801,9.160797
1.3736572,-1.8626709,9.199112
1.3975983,-1.7908478,9.141647
1.3353577,-1.8531036,9.184738
1.3305664,-1.8147888,9.156006
1.392807,-1.8099976,9.151230000000002
1.3545074,-1.7812805,9.203888
1.36409,-1.8147888,9.136856
1.4071808,-1.8052216,9.151230000000002
1.3784485,-1.7621155,9.227844
1.3161926,-1.8195801,9.160797
1.3353577,-1.8291626,9.175171
1.3736572,-1.8195801,9.1033325
1.4311218,-1.7812805,9.136856
1.3592987,-1.8099976,9.17038
1.3353577,-1.795639,9.194321
1.3592987,-1.795639,9.127274
1.3497162,-1.7764893,9.156006
1.3832397,-1.8339539,9.175171
1.4311218,-1.7764893,9.194321
1.3975983,-1.795639,9.223053
1.3975983,-1.771698,9.132065
1.388031,-1.7429657,9.218262
1.3975983,-1.7812805,9.17038
1.3784485,-1.795639,9.17038
1.3784485,-1.8291626,9.160797
1.388031,-1.8387299,9.0746155
1.3784485,-1.8099976,9.199112
1.36409,-1.7908478,9.203888
1.392807,-1.8147888,9.127274
1.3784485,-1.8004303,9.223053
1.3353577,-1.8626709,9.223053
1.4023895,-1.8195801,9.184738
1.4023895,-1.8052216,9.194321
1.388031,-1.8387299,9.208679
1.36409,-1.8052216,9.242203000000002
1.4023895,-1.8387299,9.256561
1.3832397,-1.8291626,9.136856
1.3449249,-1.8243713,9.184738
1.3975983,-1.8195801,9.156006
1.4023895,-1.8052216,9.165588
1.36409,-1.8435211,9.23262
1.36409,-1.8004303,9.17038
1.388031,-1.8243713,9.179947
1.3545074,-1.8147888,9.179947
1.3784485,-1.8483124,9.251785000000002
1.368866,-1.8052216,9.294876
1.3736572,-1.8195801,9.199112
1.3832397,-1.8291626,9.299667
1.3975983,-1.8243713,9.1033325
1.4071808,-1.8387299,9.199112
1.368866,-1.8674622,9.175171
1.4215393,-1.8578949,9.0793915
1.3449249,-1.7573395,9.127274
1.368866,-1.8770447,9.146439
1.3497162,-1.8531036,9.199112
1.3257751,-1.8147888,9.184738
1.3305664,-1.8483124,9.208679
1.3497162,-1.8004303,9.266144
1.368866,-1.8291626,9.242203000000002
1.4263306,-1.8531036,9.251785000000002
1.4167633,-1.8531036,9.23262
1.368866,-1.7429657,9.194321
1.4502716,-1.8004303,9.117706
1.36409,-1.771698,9.132065
1.388031,-1.7812805,9.127274
1.3161926,-1.8004303,9.127274
1.3401489,-1.8147888,9.132065
1.3592987,-1.8195801,9.160797
1.3449249,-1.8435211,9.2374115
1.36409,-1.8291626,9.208679
1.2826843,-1.8722534,9.189529
1.2778931,-1.8961945,9.208679
1.3114166,-1.8626709,9.2374115
1.3736572,-1.8291626,9.275726
1.3161926,-1.8722534,9.179947
1.36409,-1.8291626,9.218262
1.3161926,-1.8531036,9.199112
1.3592987,-1.8339539,9.266144
1.3114166,-1.8291626,9.275726
1.2922516,-1.8099976,9.3284
1.368866,-1.8099976,9.251785000000002
1.4023895,-1.7812805,9.23262
1.4215393,-1.8099976,9.227844
1.3736572,-1.8004303,9.136856
1.4502716,-1.8387299,9.132065
1.3832397,-1.8052216,9.175171
1.4359131,-1.8435211,9.165588
1.3592987,-1.8531036,9.151230000000002
1.3545074,-1.8243713,9.01236
1.3353577,-1.8770447,9.065033
1.3305664,-1.8770447,9.084183
1.2970428,-1.9632263,9.093765
1.2778931,-1.9392853,9.17038
1.2874756,-1.9153442,9.088974
1.3018341000000002,-1.905777,9.0985565
1.3449249,-1.9584503,9.0746155
1.3353577,-1.9153442,9.093765
1.4167633,-1.8722534,8.993209999999998
1.4215393,-1.8578949,8.988419
1.4311218,-1.8578949,9.031509
1.4407043,-1.8483124,8.964477999999998
1.4550629,-1.7573395,9.031509
1.411972,-1.7429657,9.0746155
1.4215393,-1.7142334,9.017151
1.4550629,-1.6998749,9.175171
1.388031,-1.6807251,9.266144
1.36409,-1.6472015,9.246994
1.2922516,-1.66156,9.309235
1.2252197,-1.66156,9.285294
1.2491608,-1.66156,9.376282
1.2395782,-1.7190247,9.337967
1.2826843,-1.7764893,9.3954315
1.3066254,-1.8004303,9.405014
1.3114166,-1.8052216,9.414581
1.3114166,-1.8195801,9.314026
1.388031,-1.8052216,9.318817
1.3114166,-1.8387299,9.347549
1.3592987,-1.8578949,9.290085
1.36409,-1.8435211,9.189529
1.3545074,-1.795639,9.194321
1.3784485,-1.8674622,9.165588
1.3114166,-1.8722534,9.175171
1.3736572,-1.8531036,9.117706
1.3545074,-1.8866119,9.1033325
1.36409,-1.8961945,9.093765
1.368866,-1.8722534,9.184738
1.3497162,-1.9009857,9.165588
1.388031,-1.9345093,9.242203000000002
1.3784485,-1.905777,9.2374115
1.392807,-1.9488678,9.21347
1.3592987,-1.9392853,9.160797
1.388031,-1.8674622,9.165588
1.3736572,-1.905777,9.227844
1.388031,-1.8722534,9.189529
1.3592987,-1.8387299,9.203888
1.388031,-1.8435211,9.136856
1.3401489,-1.8914032,9.088974
1.3736572,-1.8435211,9.146439
1.388031,-1.8147888,9.165588
1.3545074,-1.8099976,9.251785000000002
1.3401489,-1.8531036,9.194321
1.368866,-1.7573395,9.156006
1.3784485,-1.771698,9.223053
1.3401489,-1.7812805,9.270935
1.3545074,-1.7669067,9.223053
1.3401489,-1.7573395,9.203888
1.3497162,-1.795639,9.223053
1.36409,-1.7908478,9.246994
1.4454803,-1.747757,9.127274
1.3975983,-1.7669067,9.041092
1.4694214,-1.7429657,9.045883
1.388031,-1.7860565,9.122498
1.3449249,-1.7669067,9.23262
1.3592987,-1.747757,9.242203000000002
1.3736572,-1.7669067,9.270935
1.3592987,-1.8099976,9.333176000000002
1.3736572,-1.8531036,9.184738
1.3784485,-1.7908478,9.146439
1.3975983,-1.8578949,9.1033325
1.3784485,-1.8914032,9.146439
1.3353577,-1.8914032,9.141647
1.3832397,-1.929718,9.136856
1.3784485,-1.8961945,9.122498
1.411972,-1.9249268,9.0746155
1.36409,-1.9105682,9.122498
1.3592987,-1.8578949,9.0985565
1.3832397,-1.9009857,9.0793915
1.368866,-1.9153442,9.093765
1.368866,-1.8674622,9.165588
1.3497162,-1.8387299,9.165588
1.36409,-1.8866119,9.132065
1.3736572,-1.8818359,9.17038
1.3114166,-1.8531036,9.151230000000002
1.36409,-1.8483124,9.189529
1.3257751,-1.8339539,9.165588
1.3449249,-1.8387299,9.189529
1.36409,-1.8291626,9.184738
1.392807,-1.8243713,9.242203000000002
1.3257751,-1.8674622,9.246994
1.3736572,-1.8004303,9.23262
1.3305664,-1.8961945,9.179947
1.368866,-1.8435211,9.2374115
1.392807,-1.8387299,9.199112
1.3784485,-1.8147888,9.242203000000002
1.3545074,-1.8291626,9.21347
1.388031,-1.8243713,9.227844
1.3736572,-1.8004303,9.21347
1.3832397,-1.795639,9.290085
1.3736572,-1.8195801,9.203888
1.3975983,-1.8531036,9.175171
1.3736572,-1.8674622,9.261353
1.3257751,-1.8147888,9.175171
1.4023895,-1.8914032,9.218262
1.3784485,-1.8243713,9.151230000000002
1.36409,-1.8339539,9.175171
1.3736572,-1.7812805,9.189529
1.3784485,-1.8531036,9.223053
1.4215393,-1.8914032,9.227844
1.3784485,-1.8626709,9.179947
1.3545074,-1.8914032,9.199112
1.368866,-1.8531036,9.184738
1.4454803,-1.8483124,9.136856
1.3736572,-1.8483124,9.189529
1.3784485,-1.8578949,9.0746155
1.3497162,-1.8243713,9.156006
1.4023895,-1.8866119,9.175171
1.3401489,-1.8626709,9.208679
1.368866,-1.8531036,9.199112
1.3832397,-1.795639,9.160797
1.392807,-1.8578949,9.093765
1.4215393,-1.8483124,9.127274
1.388031,-1.8195801,9.146439
1.368866,-1.8099976,9.179947
1.3592987,-1.8626709,9.208679
1.368866,-1.8387299,9.1033325
1.4215393,-1.8483124,9.108124
1.3545074,-1.8147888,9.112915
1.388031,-1.8099976,9.227844
1.3736572,-1.8770447,9.184738
1.3545074,-1.8770447,9.175171
1.3832397,-1.9153442,9.151230000000002
1.388031,-1.8339539,9.199112
1.3592987,-1.8722534,9.156006
1.392807,-1.8578949,9.112915
1.3114166,-1.8674622,9.156006
1.3592987,-1.8195801,9.156006
1.3401489,-1.8531036,9.227844
1.392807,-1.8531036,9.0985565
1.3975983,-1.8818359,9.132065
1.3784485,-1.8770447,9.199112
